Cell	O41	O89	O127	O132	O147	O149	O164	O31	O32	O44	O56	O76	O87	O134	O141	O165	O24	O61	O66	O71	O78	O104	O125	O151	O159	O427	O433	O36	O39	O46	O47	O48	O49	O52	O55	O60	O62	O73	O80	O90	O100	O103	O109	O111	O113	O117	O128	O129	O130	O131	O135	O137	O145	O160	O171	O430	O435	O454	O54	O58	O65	O102	O106	O162	O434	O439	O440	 
CellType	vAAC	vAAC	vAAC	vAAC	vAAC	vAAC	vAAC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	hBC	hBC	hBC	hBC	hBC	hBC	hBC	hBC	hBC	 
Gene																																																																				
Nptn	9.778309769178543	10.5232654733257	9.589566593307351	8.588409520159724	10.85305671615019	8.801899609614832	9.449111559999654	9.660984333056764	9.671758397523968	9.828382827542937	10.590733450772051	10.7323145374347	10.896193123373981	8.363179252718487	8.431519976826792	6.709553327344972	9.089369232917292	9.66713447940584	10.684451934654073	9.096997078300303	9.841646112808405	9.15617989924541	10.164840260811523	8.719039218541242	8.615494140484566	8.107051272544176	0.6452165290245164	9.732331203049805	10.322143410408971	10.174378641378999	9.22213318551886	9.767963870088046	8.605800745851251	9.812989918924043	0.0	10.813716899125698	8.898628638892587	10.11688442482494	9.612857589517185	8.142328658668253	9.945203341310958	10.360389359087081	9.356389064705475	9.57770961072547	10.563239662087945	0.0	9.82956332750221	9.433747089046522	9.462924132241234	0.0	9.102068633174655	6.425827971380278	10.004524543709085	10.44815021918776	8.809284523800619	9.11252439782951	0.9173882160872813	8.168512056590407	9.82059099249408	10.135521606844078	8.709502288542117	9.518961367377752	8.793700902062799	11.150102990762033	7.835001510267588	6.5189171633934055	9.430465799308735	
Nrxn1	0.0	6.185783627598194	6.753464505164972	6.521695846801005	0.7187643955757406	5.799334030393868	5.450839227808254	0.0	5.8264581577715076	6.118217237414263	5.785647582533519	3.3097016740689313	8.939834308432431	7.605579743919862	1.8769184101661145	3.0777061595973527	3.2120721692730263	6.499997672934471	0.22909049171965926	4.995825795733812	7.464886642851046	7.62577728301727	2.3020570167701644	6.086654918008267	1.831889803930871	6.898659765115699	8.767069786365893	7.326338877635146	7.8132847549325	6.688279064819025	3.5938867644666326	6.3536183376519855	3.946500964929594	4.398556210619994	0.9846839836787786	0.2385447599374287	5.2978238329309155	5.8267442229428905	8.2697529702616	7.881976495003386	6.711572465943113	6.3937662971984395	2.899807299775699	6.703927791143763	3.8545695181265924	3.198617830363602	6.183808885448434	5.860909892277941	5.715532596784847	1.8179424568444082	7.612014223491647	6.453395758197165	5.056663593985376	5.929014045416561	3.7495025173026315	7.994513668947322	7.737426996911353	1.1497883434185074	9.164062940270194	8.167110967121152	6.894131314842827	6.159893007307576	6.370204219199713	5.839431073411162	5.78545977626911	0.3377362070755784	6.9586131652616805	
App	9.3287615328137	9.426631041637119	9.69556197489297	9.389408991152997	8.448165058546058	8.68410662731005	7.894078617107879	8.628244221739692	9.817866851606531	9.303861922599635	9.184242639262582	10.035055272523222	7.182224299051387	8.661243333204226	8.36612977693338	8.004024724134826	7.804014826299631	9.079376102929283	8.707760532015909	5.802368501496926	9.918723956080955	9.194455487476093	9.156676903389101	8.149779681373879	7.508435387417196	9.481938448308089	9.327333375822084	9.653969820377181	4.384753094278473	9.192356826987503	9.244110396766262	9.66574012414716	0.024878916568173703	8.390485325387402	0.017496089825823475	1.2410762374912494	5.51156607949566	6.2847281933780685	7.927347506688058	6.487625899405583	9.14045732848294	8.246037436897414	9.327448339634316	9.260695129762256	9.420266551953254	7.737295685601698	8.864140237740612	9.282722169543309	9.310675606872007	6.546561158835438	9.801350752534452	8.560576554563536	8.559615072683416	8.766696539692184	7.738471729730392	8.332878863187355	7.540380287597934	7.053485476104396	1.8503447845682612	7.049455429547825	8.503684992056229	8.371207280482851	8.150568155226981	7.513855194810999	7.993794942424693	10.204959861511679	8.756349021546887	
Ptprs	7.793182224717499	6.551879721648246	7.006879555400979	7.157148835438323	4.187767747326253	6.435068058450412	4.936948792748385	8.023509869919987	7.164605386982158	6.936057142656268	0.09373773165470205	5.744615230780302	6.893349043441676	6.337739025344937	4.765729072783264	6.844365816311576	3.9096514826070337	7.112937991036534	6.721565179151431	0.9154537455112809	6.135187061668788	6.241878919253991	7.711106393559575	5.149926368307508	0.3068521108047902	3.4113335523041997	7.2168736050037126	7.494647453470749	3.306337785304799	6.829814164176143	6.070372560757849	6.112582314793073	8.437110361999625	8.13850410273457	4.734953001991232	4.365354840137743	7.494640013950728	5.322211603852674	7.314122206043285	7.470986539078933	6.047716359031712	6.0510544650136975	8.10954569060279	6.5305602631800985	2.8040042115182975	1.7967237870994492	7.64582730960733	5.915464324772504	5.682512793722895	0.08201093669526999	7.190368925321118	1.7135022695997928	5.952317023744497	6.414676879338212	7.7369709140943606	6.767286397900486	4.4675340361552776	5.190845695781313	0.7635089520364795	3.123192127042801	6.490790272249989	6.440016068853475	6.295830818627523	1.5158052347379933	6.433052745290014	7.827433153693175	4.081247240194214	
Nrcam	6.429335096691979	7.204775654027121	7.424383705687307	7.5544706686262995	6.008134114143277	7.125382175673203	7.059481687452357	0.24439852979448906	8.089284228575826	6.917208781624395	8.18264903984952	0.0	9.083852132723074	6.113280037965873	8.148020287909588	7.752243185038936	4.549168267781541	2.7414126213917505	7.6505886459904975	5.79547085743031	7.775156572115552	6.877283020477022	0.03541473897478099	6.779244641871265	2.860738383240945	7.2872848168041084	8.84903570496342	5.179058146515578	0.0	7.7597555989467155	6.549134698602019	7.1245130511764145	9.30926336040585	7.648623279496394	0.0	0.0	7.616180067255926	6.452966177829637	5.863430792067985	6.9659318821267435	6.575138745997917	7.756231755353871	7.191529488546571	7.340545534806232	8.091695820181315	7.996939776018898	7.269514214015748	6.767633930911466	8.046616692472702	0.0	2.834292542958917	5.174678056842132	8.201976901496288	7.049858196420619	3.6251301880593596	0.4423426789761803	4.0099240811605865	8.730021597347479	5.7065043892943015	7.24661000671462	0.5439204632574249	6.097381775892557	5.16441554250551	5.827833883283741	6.860432748646311	9.002985147972689	5.595239366979481	
Ppfia2	0.0	4.819806111627135	5.340029954509272	0.0	6.441909137311926	6.010389354330262	6.132955973244741	1.4904106550559222	2.77552047369577	0.0	3.9715251609087012	0.0	6.564548891604241	0.3130879304479978	6.12687287894863	6.5059050581663485	0.7372636241762138	0.0	0.8807466401720409	0.0	0.1800676384623878	1.7260595393231188	5.082621273667322	3.136639615427545	0.0	0.0	0.0	6.081129531621055	0.0	5.574797219605124	5.097395556088839	0.0	0.0	7.38827358857342	0.0	0.0	4.282282404767169	5.960266969620078	5.629907362142063	6.203783137385452	4.813809403644205	5.411413364463237	5.193511561814852	4.301361348137609	0.08804048252555614	0.33705680787504627	0.0	0.0	4.63817754526528	0.0	0.0	3.316209039873923	6.740108865697973	5.726732600443632	7.494906772762634	0.5546173369495697	2.219617719314676	4.050825984415071	0.14907046285348363	6.005511823714502	0.0	0.0	4.041094008215871	0.0	3.880573915309347	0.0	5.064365109093497	
Chl1	0.0	0.0	5.1098105164655685	0.0	5.5483772201964605	4.904630527629466	4.936817881904527	7.3323697296852615	6.4854413184538995	5.821893346098446	0.911443091001948	0.0	8.298103911397522	4.520989597004641	7.475705743923986	0.0	4.711203034237696	0.0	1.7573091961782943	4.900692949734779	6.894402643864454	7.272642100897634	7.50129192224273	5.366083277167044	4.099194195314719	0.0	8.721864776268644	7.164947009917657	5.050553936514494	4.668814428727504	6.729425720144808	3.520686246992322	0.0	7.353103764599803	0.06125127210628628	0.0	7.322859666851217	6.026282189352945	7.052520231870955	5.169915704044312	6.546026730374048	6.868686567800895	6.390551101515969	3.6956820860614377	5.097033308102127	0.0	2.6821395247556086	5.19280110599036	6.721400003702916	0.0	0.0	0.0	7.46958262686685	5.575599751779794	6.937136377633058	5.836129401216002	6.571772405067421	0.6269848044407598	0.0	3.6633560060223402	5.430218690663744	5.3779453583743555	6.528607729583788	2.345881734218775	5.773095519603607	7.748277395751691	3.582484829908803	
Cntn1	7.4594037838631655	7.844577706403446	6.7889076566613165	6.088107681940089	4.058211805475839	3.508903979000675	6.223509097456528	7.027906869925239	7.099463536995441	7.252941116577647	0.0	0.0	4.355659707644544	6.236731580831983	4.992236567312644	5.091606330929698	4.717100600883141	0.8228619661169903	6.961793273685271	6.252130539023734	7.48426756908019	7.560083615534103	7.920254057943385	6.348154077524886	5.592244809441045	7.428266939346124	6.193979460761253	6.8307419940577185	5.730585344392929	7.324514246658003	6.936467127071044	6.994934634310662	0.0	1.2058303851844405	7.3251730721768435	7.167424052087694	5.950171641209238	5.696986354150806	6.806562882680341	0.4502647892982164	6.027450835268993	6.002450076179349	7.154001714124436	6.705194961020396	7.513853901944468	0.18732055627984245	5.49287976769077	6.064532967121742	6.773151137346149	0.04665784579652525	0.0	6.123124918763914	6.7717073033068464	7.4450451649141955	6.131248874098037	4.525135642281855	4.493651195587184	5.041003388823551	7.815742986419066	0.23497538337979398	4.946022343508416	7.234113082628607	0.0346166274096821	7.02164957941728	5.054517938706303	7.86429140182604	5.5685316700290795	
Ptprn	0.0	6.088228539358395	6.044885863398057	4.1879577294935775	5.497590012932391	3.109281986387539	3.73579292798531	6.972175672239739	6.94403849975484	4.739599713159641	4.41801179312457	0.0	6.076137905568651	4.924560752136562	6.419404053900631	5.971467681140793	4.004789003697109	3.908130780140738	6.757599755810335	2.9030440563113653	6.117082016366694	6.189174211402414	3.984662257934783	4.0707662685985815	0.0	0.0	0.11735766522286913	4.95712061940698	2.4836016944520996	5.042622451698788	5.381729818919249	5.4330061605244895	0.0	6.7768610068722355	0.0	8.027894941393114	0.11131207626862182	4.9077078912531205	5.678801521398273	6.687368544310322	3.2004007709787627	5.749435045453379	5.9047297445901465	1.3386411949826018	0.0	0.0	6.311430455749743	4.090647679339441	5.443338110173748	0.0	6.2265085298086795	5.109632188459822	5.77288592967909	5.771272883919667	4.528496306779912	6.929364942183418	3.98948419536095	1.482879252933711	1.7426443921645456	4.112374864254746	4.600787118138544	3.1762812786023122	4.237961352987416	6.328718005603586	2.175416015639148	3.370857556333329	6.100872552475028	
Bsg	10.175036338956893	10.857498087193157	10.222026876855933	10.538913212094808	9.44418457093501	9.685437010854768	8.051508054965272	8.956736058595746	10.382699470528538	10.56180944578507	9.913780807908655	0.0	8.01536080045747	9.363252130048433	9.71370693981284	7.127200850032873	10.107236196732849	7.8562387598970815	10.245272666706889	10.666207942188683	10.677859364029173	10.277380226025304	10.550222573475601	9.474023198910038	8.460278424689085	10.225448119143973	8.819010129507562	10.248594605646813	9.194571222283317	9.678213596449114	10.28489721034045	10.16901365800068	8.700449595019485	8.892626898806265	9.788206076047446	8.349241564941483	8.7480213499275	8.139940111444636	10.194441561562343	8.980640511509629	9.61332256522192	9.431510660536857	10.127568798565186	9.816565788979915	10.627551575161482	7.8152219483316765	9.725309261368054	10.404327160775816	9.937961928493692	9.17976580835815	8.207076640327926	8.37846127977467	9.016358391915754	9.766522067789857	9.026822075764153	8.964631973991244	7.5962069192670425	9.267751395016985	10.019452464847843	8.625453043340908	9.817638231150207	9.1572167887989	9.80671778966656	8.254166940990727	9.399803057517422	9.14772537171148	9.653355041295889	
																																																																				
Clstn3	6.922983547189267	6.754834068024278	8.115772748890981	7.862933614240479	6.090228889424837	5.695420406004832	4.955256999308173	7.888567326774875	8.846846170960886	7.171749357626061	7.490028657933153	9.132756761382055	3.0337630410249252	7.170255615485408	7.7775262895247534	0.0	5.537423472937436	7.8227046584076705	6.7253131518335865	0.1850355673568832	7.9946778706384105	7.893871760558624	8.400165715923244	7.125281276553085	0.0	7.9820906098638975	9.833876783806177	8.566246828729163	0.12253264969110148	6.191976797390964	8.331805407638718	8.130416118003156	0.0	7.094295089900791	9.084203875568763	0.0	7.095855869263467	0.0	7.366075973279011	5.619047589184614	6.4875257733845855	6.104935748729565	7.091541171265793	6.544634483793415	7.637391220138823	0.0	7.9581693396998565	6.931638173041126	6.78521272381935	0.0	5.868938582925604	0.0	5.707560681136607	6.13533785653182	0.12474314793239911	6.539797798995191	7.803728133493781	7.7202100506776645	0.046215835760701214	4.376492518760242	5.00350509434219	6.094213263596357	6.411968510395719	5.606759337446668	4.64488984105743	7.318045632566276	5.152512004546218	
Cntnap4	8.234577959784566	6.290770880383337	8.016222178228073	6.5547285100759	7.47312855615667	6.683587406017356	4.5446801146680595	0.6770255718663432	6.3333199647250575	7.026670609272606	7.670559948223179	0.0	4.791014221429819	7.268612174274384	6.932028090299562	6.177377736602988	6.3375416261556445	0.0	7.942743207156423	5.382971528334549	8.22579114631103	6.405945743540501	5.898808141243611	5.679817861729766	0.0	0.07150389441382142	0.0	7.205363186442684	1.9670742573574982	6.9084139983233595	6.837397840440937	6.735467479488209	0.0	6.785670335440967	8.884269351783324	2.875017237895477	6.084946539830569	6.783080739851516	7.431762509307607	6.953417743099346	6.521245826850076	6.894951624649157	6.087785714214321	7.520855149239598	0.0	0.0	7.702403359575576	5.683060854866055	6.757596955836132	5.140009667803831	6.3425867449631514	7.028237501961021	5.168537744447674	5.9577822991028615	1.0615276525201558	5.58104809267772	4.535304183570028	7.246210805354466	0.0991320173775982	6.991980941187467	6.583429273650867	5.373605758034002	7.180993191279332	6.875732890169804	7.159146780710725	6.041236191104037	4.415689044532818	
Fstl5	0.0	5.211592426575752	0.0	0.0	0.07631335772317437	0.0	0.0	5.8975432145191435	4.060324479054736	2.29407370755524	0.0	0.0	0.0	0.0	0.0	0.0	0.1362096331790939	0.0	0.0	0.0	0.0	0.1450213280688125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06956813204143075	0.0	5.169673004731496	0.0	6.271110238802537	0.0	0.0	2.6125671765631653	0.0	2.7777374153746677	0.0	0.0	0.0	0.0	0.23011322648215876	4.544553389627564	0.0	0.0	0.029756199747854123	0.0	0.0	0.0	0.0	6.56098085045422	0.0	0.0	0.0	0.4688950201463286	0.0	0.05201822870110061	0.38534378256781876	0.0	0.265428494306426	0.0	0.0	0.0	0.0	0.0	
Igsf8	0.0	8.009342916911791	5.079840586947052	0.0	7.413483229186029	6.105916552031794	0.0	7.603995464508235	7.582601161793118	7.358747011121589	7.741563387568549	0.0	0.0	6.858045914943727	7.834672981553882	0.0	7.613812775731875	1.2276548318840206	7.599610290700655	4.01916814307028	6.768220325525095	8.031638076990635	8.755657268454812	7.649997636407567	4.840930460472162	7.499120371821149	0.19998071493178304	7.2255497863017615	0.0	6.6536307320721955	3.4357199262907274	8.23122154558576	0.0	5.82976154464603	0.0	8.841243286809963	7.016173027812479	0.0	3.2561456473929167	7.34274228790901	6.416795839008096	5.8683267379671795	5.343208816153504	5.370335189316373	0.22341884279088292	0.0	7.4764049383612745	5.8021232781483025	3.2859673486805776	6.509017400439671	0.0	0.0	6.853560328593939	6.459490964644485	0.0	5.969769845933124	7.818185901167843	7.466358261722469	8.806872440233882	0.0	6.509301548521461	7.818297764379113	4.774006027413619	0.0	0.0	7.683907650523954	4.72334885853507	
Lrrc4	0.0	6.429845237421924	4.207658628888828	1.136978811963504	0.0	2.6998514225406303	3.7584812108344727	0.0	2.8626715727347	4.472335045660849	5.039786758920516	0.0	0.3541203646328312	5.207479032356146	0.0	6.6520375547486035	5.988202950684708	0.0	5.926450664749481	0.0	2.920682032231424	4.886545270050917	4.572895730151716	0.45922280620786093	0.0	6.163722123398465	0.0	4.842048571715612	0.0	3.427232042568304	3.2453693986608814	0.0	0.16569459401935102	0.08090320756178043	0.04048133546795143	0.0	0.0	0.24786555215759856	3.8049208983060736	2.927393982287078	4.090260652273184	5.332675714284884	0.0	3.7199938387437284	0.0	0.0	4.06522762277562	0.15532180009863453	1.0921059315918307	0.0	3.617886162608184	0.9676703272528255	0.32779771750436054	0.0	5.200280700175446	3.3927158263939914	0.0	0.0	0.047393623420400786	4.351253756396212	3.0149211898077355	4.787636191102976	4.754202861091369	2.310095772534845	6.863949597578166	0.0	2.6739362686003676	
Negr1	0.0	5.077178896721609	4.659239572218319	0.0	2.2857158784539986	1.565609311987814	0.0	0.0	5.419980396498025	6.610817270440613	6.24000896473507	2.051793188875221	4.146197872649764	5.680572412669086	5.4399521940579705	6.738632746670322	0.0	4.440919650674933	1.825871087827369	2.8268758847141218	5.820487793768625	5.436551650190454	5.7483404666459235	4.198305553724979	1.9407906493051925	7.345786564603953	0.0	0.0	6.916846824973434	2.1860782730155437	3.602623156333542	4.619172345705977	0.051801122230379755	4.716310527974885	0.6540923329201263	0.06249435999505475	0.17209075182377861	0.0	1.110043128680063	1.0917269108570928	1.5619517186000254	0.0	1.6946029904739044	0.0	0.0	0.0	3.767750127359165	2.74484718152623	0.0	0.0	0.0	0.0	1.5284052868723468	0.3470628296398926	0.4176986192069543	1.2862229158560166	5.291164914713388	6.1124698877686106	0.2240233520963745	0.0	0.07244130385620967	0.0	2.5101796146376865	0.0	3.073791104950476	1.2354329773744424	2.561502108852167	
