	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y
O24	7.21126959889775	1.225732271774849	-36.4794807434082	35.86888122558594	7.7661203053812695	0.960806628655008	4.721948623657227	-5.4123640060424805
O26	11.718733365498954	1.1624624719765422	-26.017017364501953	23.730531692504883	4.494820401982965	-0.8071510820673059	4.045532703399658	-5.753130912780762
O31	7.864315764266388	-12.933619091767083	-55.27749252319336	10.102226257324219	6.95058934837895	-5.956971548457305	5.494014263153076	-6.583747863769531
O32	-11.621685016506516	-1.7450494892544464	-26.541275024414062	-3.626171350479126	0.1190382076028796	-9.847104195768644	5.957918643951416	-6.866759300231934
O34	9.884812947236863	21.39696712885139	52.65336608886719	18.35592269897461	-1.951774294696995	10.741436483073027	4.9429030418396	-3.517874002456665
O35	33.71712628010182	-4.703526747833074	61.95269775390625	72.42326354980469	5.0490651781756535	16.854160377237047	3.912663459777832	-2.173600435256958
O36	-11.228928379699466	-8.307057460674493	2.700140953063965	-32.463966369628906	-7.001605073962769	-5.647303528432023	4.995657920837402	-7.759097099304199
O39	13.143644390221338	1.4079998683453925	-39.47216033935547	43.010311126708984	8.606883825395403	1.8941209726886228	4.931087970733643	-5.209513187408447
O41	14.793159100415988	-6.952750471304236	-14.376391410827637	26.602943420410156	2.2021231847421885	0.22594477212037486	3.8621490001678467	-6.273878574371338
O44	-11.029027672026428	-1.8223722929508042	-66.18762969970703	21.109722137451172	-7.0908134271112475	-11.25836298369916	5.058933734893799	-7.19042444229126
O46	-13.817069629393995	-2.9525846235763273	-18.957706451416016	-30.91303062438965	-5.347452833334713	-7.357989269064088	4.801454544067383	-6.627858638763428
O47	-12.161744343131453	-6.011220388481387	-10.06609058380127	-23.80402374267578	-5.54131629980705	-4.898972752317462	4.692476749420166	-7.982650279998779
O48	-10.005186192029372	-9.771278483948729	0.9857556819915771	-49.94976806640625	-10.565660873128579	-5.617705550584096	4.638636589050293	-8.480306625366211
O49	22.941241121793034	-0.9090643791899422	44.135162353515625	54.42545700073242	4.9848474418367354	12.420827190641713	3.540271282196045	-2.8359460830688477
O54	24.254514485610066	-2.081066002985369	65.72504425048828	80.06094360351562	4.43117205045801	18.30327444475234	3.8964827060699463	-2.2667946815490723
O55	25.627613692808858	-5.435697498924917	61.65375518798828	58.661136627197266	7.015560873745677	17.90207147468739	3.6588501930236816	-1.9049022197723389
O56	-3.791462408837106	-7.073471951851335	-68.64888763427734	-17.633899688720703	-7.1873226241276775	-8.53345245148476	4.814518451690674	-6.305770397186279
O58	-1.4237935542833315	12.731079527692607	32.621089935302734	14.491838455200195	-0.7029736573148803	6.580594632102484	5.417084693908691	-4.501480579376221
O60	17.283864978183622	-5.891628105817036	41.59579849243164	68.24620819091797	7.558874001093966	13.127318287900282	3.3975436687469482	-2.3469431400299072
O61	0.047605177402855414	9.680605345528054	-54.78434753417969	-46.89457702636719	4.919694214360393	-11.565398341961128	6.085547924041748	-5.479363441467285
O62	-8.713923654590987	7.799416935938347	34.99559783935547	-41.629825592041016	-2.833366981011385	-13.942286316239608	6.75724458694458	-6.561925411224365
O65	-5.025283107543081	-0.1913814670734745	-41.236209869384766	2.9310665130615234	4.835092846569875	-7.719595512274596	5.561910629272461	-5.800947666168213
O66	-6.191495603167669	2.000092218247893	-41.820770263671875	-20.79129409790039	1.7205151645073526	-13.180860890953563	6.144593238830566	-5.923129558563232
O73	1.2642380168913039	12.201526838606831	23.733448028564453	-2.4481585025787354	-3.0130905949909157	3.931659932166318	5.4361572265625	-5.130917072296143
O76	21.85865694004727	-0.5680347500337952	54.87736511230469	39.87938690185547	1.5080091949482244	12.764072006634747	4.112227439880371	-3.005643367767334
O78	-11.38384572266748	1.4220371895758779	-29.475719451904297	-27.309310913085938	-3.4383579412193415	-9.817464958626143	6.422268867492676	-6.574079990386963
O89	-6.70010232342265	-7.596587520019914	16.257387161254883	-42.319541931152344	-12.485487628592939	-4.254615503815615	4.883426666259766	-8.495997428894043
O100	-9.260066351761045	-2.4746253534221636	-0.24434475600719452	-14.944318771362305	-5.557683174719173	-2.6354698209066645	4.306312084197998	-7.840616703033447
O102	-11.918862136028903	8.922426507340425	-32.47814178466797	-45.18240737915039	-3.6256342819526246	-12.43321603613795	6.733941078186035	-6.440249443054199
O103	-8.202092862180663	-0.11105680334513586	16.338829040527344	-58.994544982910156	-11.242530596712047	-1.6909955837450552	5.1142730712890625	-8.47275447845459
O109	-9.950031414352033	3.4783091970642426	-17.394987106323242	41.80571365356445	1.761248987027793	-3.985847898795704	5.245788097381592	-6.2915215492248535
O111	-7.151197422951097	-4.94968677367939	-34.9347038269043	13.994604110717773	4.702096328795193	-4.255691620587875	4.539292335510254	-6.180477619171143
O113	16.827754322640196	-7.799953080295546	36.76585388183594	47.35016632080078	4.514043658097025	10.51300579783358	3.7449729442596436	-3.1421427726745605
O117	24.216133161006837	2.8447424501326695	71.70809173583984	67.4906005859375	7.494936413037035	15.491888436280272	3.73715877532959	-2.018383502960205
O125	-9.67562724303259	-2.087704781672571	-27.722797393798828	-15.068400382995605	2.4253572804432006	-10.00531183394643	5.522292613983154	-7.429315567016602
O127	-16.565541779786834	-2.781367556366535	-20.970998764038086	-37.16516876220703	-4.721038696661295	-7.8603919046383	4.944454669952393	-6.8298516273498535
O128	-6.9599463476684935	-9.00858521071517	-7.436192035675049	-38.667789459228516	-2.5820370319703345	-1.567457061630149	4.907948970794678	-7.613613128662109
O129	-6.7581470521528235	-5.511886448360087	-62.65098571777344	-1.9153265953063965	7.101325070044905	-2.8926160154750096	4.623266220092773	-5.914336681365967
O130	-11.545637939463406	-3.3840672884637026	12.103602409362793	-19.0362606048584	-4.8602137112207835	-0.04398115916585976	4.081404685974121	-7.6569719314575195
O131	30.859819203236064	-4.64712514568984	56.80910873413086	74.34921264648438	5.492549506951306	16.787623784575462	4.059849262237549	-2.0635876655578613
O132	0.14595856430341686	-4.988858952385093	23.602182388305664	28.39276123046875	2.46311064007463	6.4685567386486955	4.494043827056885	-4.288597106933594
O135	10.529265104238064	-5.71378321741527	33.92855453491211	38.67049789428711	3.3556730156570884	9.268140309331462	4.213550567626953	-3.6419639587402344
O137	10.791797685787417	-3.340616035441863	-10.313360214233398	11.94087028503418	3.9737208680557927	1.8046001195699322	4.019872188568115	-5.223078727722168
O138	14.825654958945918	10.856128669399862	53.17397689819336	33.370994567871094	0.7319545448480459	12.244385719026907	4.554701328277588	-3.3199617862701416
O141	-11.560158457214502	2.4829852964011536	-47.735225677490234	19.27202033996582	7.429721833620401	-8.344589791482802	5.097006320953369	-5.886353492736816
O145	-3.220182437283188	-0.3938959645458848	-4.429910659790039	-2.9313805103302	-2.585998755090965	-3.6357677324274773	4.552038192749023	-7.419528961181641
O147	-4.431998557652749	2.5440049366033963	16.725522994995117	17.68889808654785	0.9999028789161725	4.530535786506724	4.98499059677124	-4.609105110168457
O149	-5.255015717742152	2.5049283629636308	24.57340431213379	17.711597442626953	0.5917615300757391	5.750425958244153	5.0226922035217285	-4.359150409698486
O159	24.53808230171419	-3.3973473475649874	51.07010269165039	64.42999267578125	6.162120765665017	14.449843275094736	3.4921774864196777	-2.370954751968384
O160	-9.327801741432427	-0.13402876491502433	-71.52098846435547	-0.9493565559387207	8.629700333847317	-2.7068248085387774	4.767998218536377	-5.690187931060791
O162	2.8295819664064616	5.530461868291602	35.57257843017578	2.561293363571167	-3.003908331292647	6.290718525458554	5.69331693649292	-4.786577224731445
O164	1.584463009732998	3.0116891040098346	36.34088134765625	28.957712173461914	1.5191647410117426	8.649110583363868	4.79843282699585	-3.999840021133423
O165	2.688193867186552	8.590115119923027	12.464157104492188	3.9261043071746826	-1.2557538862435156	2.339224728335756	6.115574836730957	-5.015251636505127
O171	2.850039405314324	3.698383609409515	-3.9326882362365723	21.84627342224121	0.7895702241052784	-1.5998533551453191	4.150724411010742	-6.691277027130127
O204	-8.152068216659812	0.8826022177021248	-33.99228286743164	-10.18932819366455	1.4228076393986753	-8.657393098134298	5.903764247894287	-6.646941184997559
O205	-6.847439516465902	-1.012931895841954	-16.836166381835938	-11.273818016052246	-0.846243258690666	-11.25891356437466	5.906009197235107	-7.258342742919922
O210	-5.9900164833115666	-5.200331433958932	-16.52739143371582	17.25374412536621	2.4488758359251332	-1.1350867446836803	3.953375816345215	-6.517746925354004
O216	-15.544317586924484	3.6598439666785407	-29.376157760620117	-35.97727584838867	-3.2059189370660435	-8.137847491665479	6.4323835372924805	-6.110594272613525
O222	-8.913251075597817	5.621182027993451	-55.75774002075195	-30.800256729125977	-1.4835483059926404	-5.465207525004071	5.485656261444092	-7.227152347564697
O240	35.70334124313705	-0.0402978713239155	56.51310348510742	67.1021499633789	5.107409288325449	15.80065517231674	3.892815351486206	-2.2322916984558105
O242	-11.443613402141837	0.8573909065287804	-37.8520622253418	-35.13630294799805	-2.0257596984992423	-7.9975230228776795	6.124852180480957	-6.405747413635254
O243	-6.780053197103853	6.643767801075568	25.982648849487305	4.67323112487793	-2.161342318989649	4.71075857517923	5.881381988525391	-4.976375102996826
O248	-7.10115082474719	-3.9059824314593317	-23.74852752685547	18.549917221069336	3.1145462423930566	-2.048675807015787	4.284200668334961	-6.237255096435547
O250	-12.471273028579684	-4.320773669686978	8.19806957244873	-46.40935516357422	-10.668070638599396	-4.1329908757682885	4.943809509277344	-8.324908256530762
O255	-10.812260421926492	-3.5382941292341314	-1.8315227031707764	-22.29781723022461	-4.482422180950621	-3.4510216737562525	4.409279823303223	-7.775031566619873
O284	-11.086113721418794	-3.071169444254153	11.636658668518066	-51.089996337890625	-10.654814848539992	-3.399933252742132	4.887524604797363	-8.486220359802246
O285	-5.019739710388804	-2.552460116495667	-47.54383087158203	9.408307075500488	5.62448104508619	-6.214867642887538	5.157369613647461	-5.796440601348877
O286	-6.668628707689798	1.691583522199697	-40.346065521240234	-10.790789604187012	1.5280325710108584	-7.707598706290715	5.780222415924072	-5.759668350219727
O287	20.272485931018576	12.473289269875414	51.1204948425293	81.30085754394531	3.016312003069959	16.065037086277542	4.197218418121338	-2.4574828147888184
O290	-9.381915331650518	5.73790138797417	-24.314838409423828	-54.69960403442383	-7.617917167031248	2.090574802497472	6.48244571685791	-5.605108737945557
O292	-8.517132105070573	1.43216225054887	-49.640621185302734	-5.531881809234619	0.6928320366045427	-6.331002052048029	5.698182106018066	-5.981420040130615
O296	-7.2954033591312895	6.72659882560324	32.16017532348633	-14.14074993133545	-5.56778663985978	4.6997727373585825	5.844033241271973	-5.114408016204834
O297	-12.038221735218658	-1.3472229442632468	-7.0251030921936035	-29.837961196899414	-4.3798094609600335	-4.742768487009208	5.276566982269287	-7.733340263366699
O299	-3.9204027096018312	7.8127035028478105	-50.85686111450195	-14.836088180541992	2.4029582408062113	-6.805821409567891	6.059794902801514	-5.87395715713501
O301	-7.414510382412821	-8.3706772106219	-7.061257362365723	-61.80995178222656	-7.9709656117321295	-2.1112444763644627	5.2025957107543945	-7.947310924530029
