	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y	nbtsne_X	nbtsne_Y
O24	30.515856597543888	-9.068554103592026	-92.86748504638672	74.10662078857422	-1.7261115816969346	11.501032029170016	4.489817142486572	6.231694221496582	170.9872	-3.936728
O26	59.358518789850415	-35.98794830666731	-146.18386840820312	112.6749038696289	-10.192503727391777	8.82955507503813	5.232725620269775	5.570096492767334	-91.14989	91.1345
O31	17.829865862754296	31.488512010318573	107.14276123046875	-135.57553100585938	-10.89009407294222	-4.80031539919319	6.457422256469727	7.393442153930664	-83.14497	105.271
O32	-22.968634684145783	10.226301412521913	68.039794921875	-39.76017761230469	8.8376826408933	-5.3978599209532865	4.3694071769714355	9.233109474182129	173.1204	36.93705
O34	-14.042330749037346	27.765979431451	174.28567504882812	-45.0017204284668	-7.452181429983506	-8.286779141355376	6.298919677734375	7.499797821044922	-70.32995	-109.6619
O35	80.00780228664098	-20.42349487930933	-155.3408660888672	97.98855590820312	-10.750740595251605	8.086196756330223	5.490176677703857	5.580519676208496	-233.4801	35.08155
O36	-19.898419321774888	18.70835164565434	114.72293853759766	35.576961517333984	0.304131714625534	-5.790581000161342	4.501243591308594	8.495927810668945	-60.45008000000001	20.336470000000002
O39	27.4513298085279	23.797678441462462	220.008056640625	-67.27722930908203	-10.174272684208816	-2.0943842502367978	5.9798736572265625	6.756135940551758	-42.96682	67.42318
O41	47.94463034731264	11.37177742185537	-155.32823181152344	33.1771240234375	-11.282512655280788	2.1471296519666176	6.167653560638428	6.126381874084473	-109.7757	70.21503
O44	-11.77617950368013	-12.863647765029294	83.54714965820312	-14.92089557647705	7.380912836961044	-6.96073927766165	3.152111768722534	9.12851333618164	84.68511	74.98597
O46	-7.597314718374095	-29.03054688283796	-28.630765914916992	70.30390930175781	1.5764089640929622	5.7184803806729505	4.097233295440674	6.911703586578369	79.63709	49.53468
O47	-20.489201184384648	8.208184987416102	95.55789947509766	28.474098205566406	1.21994273953799	-5.014975124947185	4.357930660247803	8.300457000732422	60.741130000000005	-23.49813
O48	7.812874716044527	1.5312071235413163	-45.084617614746094	157.85169982910156	-5.2895304192779955	5.191047439193144	3.797138214111328	6.100332260131836	38.25861	-106.1428
O49	-0.3637335364402882	47.98984941036939	118.06238555908203	-95.6051025390625	-8.42888365913716	-5.254193526866597	5.7702836990356445	7.270043849945068	-154.8816	25.06332
O54	49.61610774022741	7.673768273274479	-185.85061645507812	14.224486351013184	-10.075003467998643	3.9877942407910925	5.881279468536377	6.339049816131592	-174.3143	45.74094
O55	43.84315766451269	21.3496402261255	-196.4639892578125	45.14400100708008	-12.993817391166031	3.3746596845647527	6.382017612457275	5.9564619064331055	-160.5433	-42.98663
O56	-13.132581160014096	24.48888803088749	-6.409317493438721	-98.99095916748047	13.38114551065569	-7.407334027689881	4.686990261077881	8.714723587036133	89.18692	107.5275
O58	-11.607465384363413	6.4058084813496015	19.694501876831055	82.40701293945312	1.7756384759814194	0.7959449368562702	2.16383957862854	7.977614879608154	-12.44337	-4.258712999999999
O60	14.554758431457211	28.679676825391812	156.96055603027344	-104.66509246826172	-11.241861850749173	-7.552707090916539	5.9317450523376465	7.377471446990967	-199.9118	80.08189
O61	1.2020236541553826	7.417428221777798	-899.7689208984375	-196.450439453125	-7.739652340325687	-2.761268545198982	5.581496238708496	7.926608562469482	225.5756	82.00492
O62	-30.599570575609146	-3.0537432680082683	47.221397399902344	105.26725006103516	6.921324190390444	-1.2497207346006833	3.025479555130005	8.259819030761719	-2.99781	-99.51563
O65	16.585522044957134	-27.85045261072022	-54.21528244018555	91.3348617553711	-2.659743568693343	9.207677371774267	3.988001823425293	6.366015434265137	52.28566	56.6541
O66	-3.6083197809291523	2.7882532207242527	8.064132690429688	-54.04696273803711	13.31507329291863	-3.4874053791471273	4.12144660949707	8.9041748046875	198.0091	89.50529
O73	-26.425865588180585	-0.5135327411249176	-36.808509826660156	-22.32928466796875	8.757128895842909	1.6283558329189953	2.4895570278167725	8.2877197265625	-54.57159	-70.06468000000001
O76	4.1881108188304	48.68502696707781	229.6038818359375	20.2520751953125	-8.271189377672558	-4.568002825114179	5.90366268157959	7.204538345336914	250.0241	72.61825999999999
O78	-29.52694368628597	-7.326233188497621	50.552085876464844	-14.630865097045898	9.954487513293907	-7.305095445348494	4.599148750305176	9.396140098571777	148.4988	16.71199
O89	-19.663438254473665	20.15618616594142	85.56692504882812	120.43843841552734	3.1099230813250136	-6.91817277992263	3.9475009441375732	8.19589900970459	85.28304	-98.80875999999999
O100	6.733251179654725	-23.622599052547855	-100.48892974853516	35.257083892822266	-0.7613605497060104	5.812679732718492	4.315734386444092	6.5591301918029785	36.19194	-51.75982
O102	-34.27551938812135	-23.531619352875314	-12.205972671508789	-0.2743203639984131	12.123307990888273	0.1359423078466197	3.8863236904144287	8.749162673950195	29.321340000000003	41.753029999999995
O103	-21.453895357737842	6.974265422187559	82.6521987915039	-178.59060668945312	6.403038572593078	2.5716062711633185	3.094254493713379	7.628338813781738	52.81064	-90.88734000000001
O109	5.611531891328038	-32.908365165832635	128.29861450195312	-199.21322631835938	1.2869692108002526	10.38434880496943	3.7850732803344727	6.471381187438965	33.20751	-3.176919
O111	10.437374355161756	-22.135614234176206	-69.57057189941406	53.294761657714844	1.5852755407465342	8.068760259632004	4.073489665985107	5.9698100090026855	37.90051	15.177489999999999
O113	-0.28907783616523336	47.50660767346863	114.37213897705078	-114.24849700927734	-9.510751334123855	-5.333700089111152	6.211699485778809	7.300258636474609	-98.93354000000001	26.560859999999998
O117	38.21169718075473	16.994311730016065	-156.37709045410156	-21.436586380004883	-13.419455844489784	-0.6496949025472913	6.396744728088379	6.754123210906982	-208.3176	0.1450529
O125	-19.962588752981052	17.300235382091383	29.642553329467773	-75.62755584716797	11.415242487511177	-5.029783682598377	4.079142093658447	9.455183982849121	72.97622	12.638119999999999
O127	-20.592146221402423	-21.524836766742045	49.97249221801758	18.48986053466797	0.64003241300454	-1.6054014707151942	2.6032285690307617	9.015498161315918	5.072836	-33.002140000000004
O128	11.645813856160183	3.567236805509011	-88.86004638671875	138.0044403076172	-3.1807285235058207	4.955206545369469	4.089093208312988	7.2852983474731445	73.11878	-73.90311
O129	4.2647349789159765	-15.246719170671149	-66.8127670288086	22.85434913635254	-0.7653886683630251	8.112510223821944	4.449534893035889	6.4674458503723145	112.9881	-5.341557
O130	-13.241542989678466	2.595672836078866	124.85075378417969	-3.172938108444214	5.354725385252703	-5.093438911412992	3.463477373123169	9.092140197753906	-62.180930000000004	-42.19611
O131	73.52074954060055	-13.142052264188822	-162.50689697265625	75.50653839111328	-11.442652297699576	6.4582447916823025	5.914417266845703	5.7205119132995605	-199.571	59.54682
O132	-10.701761922185506	32.29932117411469	130.00164794921875	-70.8791732788086	-6.668823085242519	-5.8794613992983304	5.970628261566162	7.67111873626709	-50.7258	-5.5635650000000005
O135	7.466345799363512	38.164433975730375	96.4059829711914	-102.96839904785156	-9.220838153668582	-6.538688118272107	6.261801719665527	7.099307060241699	-138.0547	-37.6832
O137	46.90915904782955	-5.283765276679797	-195.0567626953125	81.6817626953125	-13.892952184465024	5.899278954307911	5.752120018005371	5.904019355773926	-108.2099	-36.14331
O138	-5.758452827558537	18.60205145168348	192.79104614257812	-130.554443359375	-5.707727304972879	-3.6541461397732777	6.3844122886657715	7.813357353210449	-152.4171	0.9511699
O141	-23.779693500080693	-18.198666868882935	68.15504455566406	-72.17454528808594	11.017966603883817	-2.561970559187079	4.195614337921143	9.405052185058594	180.4651	72.07507
O145	1.7484787042158165	10.400684744543293	118.6937026977539	91.64510345458984	2.478864005278779	-2.7016786149032073	3.3989903926849365	8.479704856872559	37.76482	-80.46095
O147	-7.343371444764565	-2.8607339123191915	147.6053924560547	57.341590881347656	1.4920034313543418	-9.500099262134293	2.781538248062134	7.912136077880859	-92.94349	-8.461222
O149	1.226062137013647	-6.711090485682816	70.28594970703125	15.571694374084473	-0.8888107038639257	-1.3081410335822927	2.805044651031494	8.768543243408203	-78.97752	-30.9172
O159	46.21852244865736	15.47796305386963	-179.24105834960938	53.6325798034668	-12.463321303279681	4.092003508602918	6.046650409698486	6.053630352020264	-229.694	59.34124
O160	2.052932715611472	-22.5084395479612	-9.045211791992188	109.66028594970703	0.22091462123655417	3.2789612214464183	3.6281991004943848	7.0019073486328125	-96.6679	-83.23375
O162	-7.109526686648759	16.38469219765698	31.413837432861328	-112.8220443725586	9.939903453572514	-10.542160996959598	3.623427629470825	8.288077354431152	-76.05653000000001	-65.979
O164	-17.08506981709626	-1.5107566926290175	80.6884536743164	75.165283203125	5.541970433076278	-9.505069095926933	3.344517230987549	8.780034065246582	-75.76246	-2.185045
O165	-7.65181318616323	10.395303109608225	-59.149658203125	-94.06814575195312	8.065493636651338	6.6212654029592635	5.5586371421813965	7.545370578765869	3.187505	-143.9648
O171	34.63611694108352	-26.330737855765577	-103.77388000488281	106.30213165283203	-4.73176775553337	7.663627837529381	4.240301132202148	5.595098972320557	7.9866779999999995	-71.0081
O204	-27.18780280531931	1.6694207447597795	26.529069900512695	-43.611656188964844	10.012298169863447	-3.9817814548763533	3.9796571731567383	8.830286026000977	122.5299	56.15181
O205	-32.08747068171724	-1.3594880948805559	39.295833587646484	-35.760231018066406	9.597695065469917	-3.8483894420426235	4.386653423309326	9.17968463897705	118.8356	88.4418
O210	15.263465864632751	-29.403038639303656	-80.50325775146484	108.4278793334961	-3.3538794441188546	6.88053357351598	4.282520771026611	5.786870002746582	81.09085999999999	-55.999030000000005
O216	-38.836637742587776	-21.022338229304527	16.235246658325195	-9.227720260620117	8.947168580091057	-0.8523764665377477	2.7394700050354004	7.5660223960876465	145.1039	63.96986999999999
O222	-21.51631022896225	3.414051280498478	48.809043884277344	62.14955139160156	5.337123594404177	-3.0426122553585673	3.0025854110717773	8.563962936401367	-34.87445	-91.89064
O240	54.79344505402673	18.13068510934806	-178.46240234375	35.749664306640625	-11.533801013594742	3.8431320371818916	6.086127758026123	5.942239284515381	-208.5774	23.70068
O242	-14.528849699424203	-26.289886209074147	-36.8027229309082	42.4927978515625	3.6737980398461394	6.5977297048549834	3.976128101348877	7.086337566375732	101.5336	28.378220000000002
O243	-30.18700305013249	-7.482117118995213	-16.39503288269043	-30.07354736328125	7.555597852960767	0.9988178136027961	2.665978193283081	8.36353588104248	-10.84155	-46.778929999999995
O248	18.08305970833833	-46.3720899228298	-75.94534301757812	93.19149780273438	-2.8693775290898396	7.7977392894477795	4.292545318603516	6.136037349700928	144.0604	37.8313
O250	-29.36506059579661	-21.24679888714628	21.97770881652832	29.07356071472168	4.729077546958046	0.5628835919919409	3.283921957015991	7.432577133178711	109.1608	-72.39643000000001
O255	-11.393245478000615	2.227251824486536	70.76158142089844	44.06649398803711	3.325539390951741	-4.307208593038328	3.978022575378418	8.273506164550781	-29.70825	-32.066359999999996
O284	-34.7156846980915	-16.467949753852782	20.989839553833008	13.015575408935547	5.4745176712545085	0.8404251776089805	3.026099920272827	7.575839519500732	121.8577	-86.17899
O285	-21.981815412309814	2.9325675443261363	46.471473693847656	-53.18159484863281	8.375451054163468	-3.766705278727513	4.002142906188965	9.12761402130127	109.8825	72.5468
O286	-0.780847396502414	-26.70362221545261	-51.470489501953125	61.21613311767578	0.6226372463874019	6.8859981222908	4.177578449249268	6.669297695159912	146.8525	85.14652
O287	37.47610427337513	-13.882749324126346	-57.313140869140625	122.44245910644531	-5.2871122065474525	10.004766141569172	4.54204797744751	5.926952362060547	-197.6126	35.85439
O290	-34.60749415133804	-14.175979835788763	24.22918128967285	52.553096771240234	4.814477802708902	-1.3886301291532628	2.658348798751831	8.062445640563965	-19.216520000000003	-69.39109
O292	-9.210205898878058	-21.248070751885265	-6.185141086578369	34.81325149536133	3.706172220204183	3.1225449189185324	3.2806901931762695	7.0927653312683105	120.9633	30.385890000000003
O296	-26.639605999249596	3.284151200063334	-70.39203643798828	-40.96702575683594	3.0821705995261777	-0.8014221401439352	2.5077178478240967	8.18073844909668	-121.4272	-0.01649024
O297	-32.91649004143476	-12.395454145501704	43.25197219848633	36.91465759277344	3.9136972053155716	-2.1336420836666603	3.1558046340942383	8.566973686218262	58.37688000000001	-52.48296
O299	-25.07657833890469	-5.198114353790041	-27.99504280090332	-54.2551383972168	10.247760123557606	3.6612445319968807	2.975003480911255	8.252887725830078	56.72448000000001	112.2767
O301	-5.233844162612071	27.828422317491977	40.36347961425781	-169.5869903564453	-2.6478430819910224	-6.842387575024604	4.97968053817749	8.13700008392334	-34.52568	-117.7584
