Cell	O24	O31	O32	O36	O39	O44	O46	O47	O48	O49	O52	O54	O55	O56	O58	O60	O61	O62	O65	O66	O71	O73	O76	O78	O80	O87	O89	O90	O100	O102	O103	O104	O106	O109	O111	O113	O117	O125	O127	O128	O129	O130	O131	O132	O134	O135	O137	O141	O145	O147	O149	O151	O160	O162	O171	O204	O205	O210	O216	O222	O240	O242	O243	O248	O250	O255	O284	O285	O286	O287	O290	O292	O296	O297	O299	O301	O430	O433	O434	O435	O439	O440	O454
CellType	hBIC (>P25)	vBIC (>P25)	vBIC (>P25)	vBC (>P25)	vBC (<P25)	vBIC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	hBC (>P25)	vBC (>P25)	vBIC (>P25)	hBC (>P25)	vBC (>P25)	hBIC (>P25)	vBC (>P25)	hBC (>P25)	hBIC (>P25)	hBIC (>P25)	vBC (>P25)	vBIC (>P25)	hBIC (>P25)	vBC (>P25)	vBIC (>P25)	vAAC (>P25)	vBC (>P25)	vBC (>P25)	hBC (>P25)	vBC (>P25)	hBIC (>P25)	hBC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	hBIC (>P25)	vAAC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	vBC (>P25)	vAAC (>P25)	vBIC (>P25)	vBC (>P25)	vBC (>P25)	vBIC (>P25)	vBC (<P25)	vAAC (>P25)	vAAC (>P25)	hBIC (>P25)	vBC (<P25)	hBC (<P25)	vBC (<P25)	vBC (<P25)	hBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	hBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	vBC (<P25)	hBIC (>P25)	hBC (>P25)	vBC (>P25)	hBC (>P25)	hBC (>P25)	vBC (>P25)
Gene																																																																																			
Cygb	5.705087688766458	7.09843219106163	6.641940462088837	9.09332248203927	7.517070929382857	7.296182057615491	7.08742040841924	7.857582955384148	8.742390285379502	0.0	1.6896525216243785	7.056095756038124	0.0	6.2852098466983675	5.822516021836828	0.3836650368126446	6.2232024217466515	6.819617095657045	6.111252542060996	4.2915225220259074	4.76645205115569	6.868588001328197	5.010063683344698	6.683078826187963	7.878449476915224	5.798584555341989	8.511922605090328	7.948075158491082	8.504660113636492	6.09152213054863	8.584909901505611	7.056485987093015	6.2233935876185145	6.785393614809149	7.70554945160999	8.186104332588892	7.829082099685567	6.728165419715199	7.638450395172909	8.631257102136253	7.223673532325105	6.834053824828505	0.0	7.491620643402765	6.998353486763291	5.511989789626482	6.812613738995161	6.533286119812746	7.072973986719242	7.515013803784462	7.365141344245095	6.80687823870367	6.981430283584569	6.6167090934870245	6.684187560654353	6.108909124169033	6.9670994229274426	8.148674859677033	7.094637231949301	7.65843286945903	5.993214672870799	5.851286805326558	5.938723333613148	5.878068083916953	6.963555042100491	8.01754337353154	6.517464680181127	7.000371896877457	6.342753841858727	5.472997823455305	7.861924356782752	7.3666369497393855	6.131680020313456	8.169609377379478	5.44389171470218	7.057818480683239	6.374797803148958	0.0	7.333897755775481	7.4716183182544444	6.318826575837738	6.418866263568671	4.37684601401632
Gh	0.0	0.0	4.174110754005527	0.0	0.0	0.8687641915653743	0.2410310714650159	3.6726968825408814	2.516131163268599	5.168441469037699	0.3834151024833098	7.3965277212285	5.524778325042754	2.938686641662507	0.0	7.6942812665003055	5.636412913075314	1.230295254346018	2.2749802202765417	3.8364796271292025	3.1050796241759366	4.113867159482696	0.0	3.623937075671692	3.2642046180221516	2.96908047923451	5.296266503794326	6.386198774617886	4.181516053463662	4.327220280716439	4.123053632780772	4.337061661861154	3.534385375402574	3.5626209865813485	0.9025529183308727	0.0	5.831958289198261	3.2764088208530913	1.9518190252299137	0.4318860704591093	0.2691169520317478	2.693482496986023	4.865230946166289	2.253175441417941	0.0	4.1140088056171695	6.904002316283692	2.627917287638204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hba-a1	0.0	0.0	7.494551616717703	4.96472272472477	0.0	5.34279365783811	4.767135673594762	6.3635373125341665	6.233255362249265	10.956122011431283	8.908239701887696	10.240017553997822	9.353565896213645	3.8795891306506447	7.266653506836878	11.32565399869108	9.667627838680469	7.451623251541142	5.272942129044392	7.795810122548677	8.549997158679432	6.800071568155553	9.989245468065493	6.751078974398614	7.3990634004786395	9.65476491818809	7.418218626116873	8.72549836283214	6.6929571751028485	6.232772936107419	7.653396855099084	7.2814784912512875	8.334464588959994	7.556467735569656	6.340489277919544	9.853955114458993	9.706689607822312	7.558466633865398	5.1392730184230775	7.2589981417209675	5.521782580742269	7.584458972403867	9.012579846748519	8.283269171318219	6.902338933592448	7.711219556894335	8.545084169577384	7.881822436044634	0.0	3.934318341503757	5.529208764221069	0.0	0.0	5.611361263919751	7.066024590726086	2.836996604149763	4.902281042275329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.91688264385596	5.659659164850201	0.0	1.6108276032098297	1.7797429895443388	0.7105342585854363	0.0	0.0	0.0	0.0	7.870685282864557	9.128587264096351	0.0	0.0	0.0	0.0	0.0
Hba-a2	4.093534823988304	1.1649535747367805	8.761700812885351	5.039309506346034	0.5296310728690157	8.20521654476493	8.052448500499178	7.781628554368343	8.021501936214893	12.8242988296343	10.62168560672668	12.464047919346172	11.706137674074698	7.500069049165837	9.740856745669651	13.370796367574679	12.11559967657016	9.833502080562056	7.680774425492461	9.52922165083631	10.553667688483063	8.029811747985072	11.464142392791139	8.656128070202865	10.617081715499008	11.547077678238168	9.437398376256775	10.388394059473276	8.868118780002444	9.52190857432742	10.033890975547585	9.022875441388477	8.983432588990576	9.592634560061764	8.440761220921985	11.351303675592762	11.85870371622174	9.350508297095743	7.704353264396516	8.528446296552477	8.19291907944596	9.32666991626058	10.922235021581722	10.692693954276661	9.170891483691506	10.865841507576972	10.743790953748656	9.822486385809379	0.0	7.588032473039081	7.033588186169147	0.672437109788933	0.0	5.666171443355678	9.242612032409948	4.374170076068501	5.875642469786875	0.0	0.0	1.917637976341461	1.5117716260705654	0.0	0.0	0.8557792557229783	0.0	4.413979886756007	4.763937350555105	7.72449338921537	1.1204163094071224	1.6108276032098297	4.057840137080445	0.0	0.0	0.0	7.873690180235722	7.429050993295282	10.088814734250299	12.729172486858165	2.587741818792901	0.0	6.183389246380004	5.026981491176237	5.744489432822604
Hbb-bs	6.466444406250493	2.6567709255608363	8.483775477957256	6.619671240463322	0.0	6.060369532293909	5.353595006078387	5.058104318953792	7.037667745445382	8.807335600119632	10.134875488071474	11.849994763933928	11.521948803606321	5.593317912331491	9.752394028010055	11.93014397743685	11.099412184465825	9.890978606647673	5.348519258108386	9.250096805547079	9.093610351026733	5.6949832387648005	10.616989855105295	6.252519736545285	8.993779073339121	11.050739750783952	9.224071635973603	8.954269025038279	8.591354037915236	8.93019622545769	8.62164531765067	9.023393981002606	9.665566872041888	9.207448772043865	5.772252542475412	10.008876768394256	9.970681127876935	9.149566771352577	7.787347569947816	8.131939251027108	7.12560864087529	8.53266371934907	10.391890240227472	9.806256381133629	9.257003544304785	8.948533686794088	10.361647749703591	9.225911136559455	0.0	6.960558044647343	0.0	5.518085013378992	0.0	7.177748405072128	7.880618188126846	0.0	0.0	0.0	0.0	0.0	3.9129946910250184	0.0	0.0	1.5378476899553402	0.0	0.0	0.0	4.482299748217463	0.0	3.2060649049178584	3.202935306255254	0.6451233580994806	0.0	0.0	0.0	0.0	9.014140457369233	6.989661299243962	0.5857884476076793	9.733802723326646	0.0	0.0	7.754580228832828
Hbb-bt	0.0	0.0	4.083979197714486	0.0	0.0	1.5605926870019797	3.968560818888909	4.801965677200589	5.221034103015752	9.558328867690044	7.7813662712144875	7.2838477100862455	5.9471588336079595	6.4400685092094525	8.517862259434663	10.62611967871938	0.0	6.207373606586393	0.0	3.7992427605260572	8.076836970152376	3.3954069756229766	9.960017865359061	3.6851440364609123	7.426164098048391	6.907828042747771	5.780769399344525	5.439403724853197	5.624858315427343	4.038488859432477	5.2073150333852265	0.5847268412850997	7.0828515851961855	7.266852116251872	0.0	5.5096863421542555	3.6202110263241134	2.958827830716288	5.136892708209988	4.80275157147665	3.237608075307723	5.297140048076146	8.778129709717625	4.946646653692186	5.440769524800197	2.6392205845909285	5.464240230119027	7.472422783735942	2.8363139937464696	0.0	5.484392739895777	0.0	0.0	0.0	5.454824038909984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.619314401545812	0.0	0.0	1.3922184917268532	0.20078555803730375	0.0	0.0	0.0	0.0	6.61213424955305	0.8540874339824882	0.4989768838796175	0.0	0.0	0.0	3.147417420561657
Hp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1314011924369005	0.0	0.0	0.0	0.0	0.0	0.0
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.323072779839304	0.0	0.0	0.0	0.0	0.0	5.547986976331031	0.0	0.0	0.0	2.399056220636721	0.0	0.0	0.0	0.0	0.0	0.8218301965636647	0.0	0.0	0.0	0.0	0.0	0.0	5.467573272476942	6.446631744975766	0.0	0.0	0.0	0.0	0.0	0.0	0.251812391441598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.171110729965424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ngb	0.0	0.0	1.1983935700864383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.923327485419192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
