Cell	PCA_X	PCA_Y	t-SNE_X	t-SNE_Y	FIt-SNE_X	FIt-SNE_Y	UMAP_X	UMAP_Y	nbt-SNE_X	nbt-SNE_Y
O24	3.5563339506731833	-20.190676769974612	-52.298465728759766	67.09921264648438	7.142262469838682	-6.435447155650886	-1.5960988998413086	-1.2925262451171875	2.3538759999999996	-214.0214
O31	8.354672453942555	-5.76360225076412	-78.8681869506836	-21.928863525390625	4.906621885100072	-2.1143804463447324	-2.0661420822143555	0.16806495189666748	114.1642	-60.21845
O32	-22.51133353828882	9.6986807999851	44.96856689453125	-3.232206106185913	3.891529400106187	6.6345321061446665	-1.676882028579712	2.9236795902252197	-45.84122	-156.9425
O36	-15.45560942138415	10.27928578209136	75.59344482421875	-74.88016510009766	-5.883317932717411	10.726455883750969	-3.3154356479644775	3.3876640796661377	-14.398439999999999	133.3282
O39	12.474664064453457	-10.709265634321506	-94.4499740600586	4.546950817108154	-0.5947375987069189	-8.599502205971447	-2.7122631072998047	-0.38692256808280945	11.25458	16.96714
O41	22.95996128165149	-13.121110315409672	-75.41996002197266	70.71707153320312	6.819047132427448	-9.409174221373409	-2.291581869125366	-1.1802055835723877	-172.7244	2.73585
O44	-12.2723906803484	-4.235867147036353	-12.374834060668945	16.85062026977539	3.511856818404258	-0.10121237400639463	-1.2829082012176514	1.497828483581543	-97.45111	-111.6742
O46	-5.967057351266803	-12.222920284628753	-35.23714828491211	20.148160934448242	3.013791146819183	-2.934145796526925	-1.681054949760437	0.3319975733757019	-78.84253000000001	-92.05159
O47	-15.484141384732187	3.392483597977586	54.20246887207031	-49.18820571899414	-0.6243291020831232	8.786705043514894	-2.4416344165802	2.9700753688812256	-75.2014	17.88928
O48	-4.1273367672460175	-13.379487189255167	-75.99752807617188	6.862037181854248	-0.13086776825452784	-6.651256205299719	-2.519314765930176	-0.25880128145217896	-113.0825	105.4452
O49	13.75967363902909	37.359331380664905	70.75446319580078	-93.04635620117188	-4.779089690639522	12.606059743092255	-3.021394968032837	3.9019954204559326	152.0318	56.63435
O52	16.931767588781852	2.0461707497005097	2.5756642818450928	70.46895599365234	-5.753202610138338	-6.37365213122197	-2.1599555015563965	0.7248516082763672	-53.57185	-26.471090000000004
O54	50.12221562493825	-5.200830015456998	-124.08393859863281	65.07568359375	3.9590413614424915	-14.214136819516506	-2.8661136627197266	-1.7387902736663818	160.653	86.53134
O55	45.83786483759481	-2.609729144649082	-129.71461486816406	79.38919067382812	2.7115848119451567	-15.082376730582615	-3.038144111633301	-1.858150601387024	110.1614	148.4049
O56	-13.951761430815376	11.207375752074967	35.973785400390625	-19.903078079223633	1.7049811061237994	6.331702206914483	-1.9626245498657227	3.163729667663574	-28.749809999999997	-112.4241
O58	1.1636841787720669	7.283189556037923	94.29491424560547	-23.727291107177734	-7.986034546318667	2.434708190788948	-3.427825927734375	2.085970878601074	-7.244916	54.543730000000004
O60	36.55235692606309	6.577778588198618	-99.44564819335938	103.38038635253906	-0.7938468892275786	-13.200997223195703	-2.968599319458008	-1.0202178955078125	195.417	116.8797
O61	20.751586266033616	3.3594355810944196	4.4697113037109375	83.07243347167969	-6.562373450357563	-7.193636647494554	-2.008928060531616	0.7898610234260559	70.98389	-156.793
O62	-15.244185207764591	7.026126932949184	40.95046615600586	-63.65911865234375	-2.3863711107244567	8.449453081231816	-2.803311347961426	2.876549243927002	87.67194	-25.231170000000002
O65	0.057728011431293226	-20.48989601166494	-69.04356384277344	54.37255859375	5.2202714370865655	-7.7169406396628215	-2.1932945251464844	-1.0702228546142578	-136.6485	-77.42307
O66	-5.341122918726351	-7.460104046977931	-7.289135456085205	39.19582748413086	6.837824528052309	-0.4360900641332597	-1.4676158428192139	0.16223222017288208	10.25838	-152.9505
O71	3.6764983823422357	-17.175497813853266	-32.605682373046875	65.5413818359375	7.801296889002159	-4.191670794515232	-1.3120393753051758	-0.8536686897277832	-118.2115	-142.0442
O73	-11.949696423235963	12.004594689085458	47.67117691040039	-81.05398559570312	-2.5240151789182104	10.493590562829647	-2.948591470718384	3.1970138549804688	82.0312	18.23594
O76	30.97984161539775	47.221613468690826	81.73613739013672	-107.81947326660156	-5.545663040704804	14.417730578661494	-3.21795392036438	4.023538589477539	107.962	-138.4045
O78	-19.791200697083937	4.517858806394807	41.28569030761719	6.948655128479004	4.459836032132851	6.025449999355563	-1.3904845714569092	2.6555891036987305	-51.07763	-182.9816
O80	-12.647583297312549	6.8744521411183745	26.88024139404297	-80.62535095214844	-4.506675975326526	7.006985217595495	-3.1818907260894775	2.644735336303711	-121.683	52.407740000000004
O87	11.156959890832246	29.64745484744363	25.85965919494629	-47.736446380615234	-2.1109541382883394	6.23738331528013	-2.761139392852783	2.6315088272094727	123.4768	3.030523
O89	-16.560681530630188	8.245549097162032	67.02622985839844	-67.7332763671875	-5.469627363335974	9.890977019338179	-3.2928099632263184	2.9997904300689697	-79.50367	145.036
O90	-7.031607676823804	-1.0970901722268276	-0.07055331021547318	-15.29552936553955	-2.2186866515104557	-0.917082352969489	-2.1375110149383545	1.6344881057739258	-144.3523	66.59543000000001
O100	-3.185789281431191	-16.62409731500802	-68.91576385498047	15.6774263381958	-0.9778996484502726	-6.436493649512766	-2.67814302444458	-0.5971177220344543	-138.3072	120.1009
O102	-15.717350047152596	6.7684413530916325	39.81772994995117	-53.14839172363281	-1.9478971953306248	7.823934885152278	-2.643373966217041	2.639293670654297	-118.8923	-40.99082
O103	-13.418339576952068	3.5828271199326	21.102693557739258	-71.33424377441406	-5.301792590225256	7.25273932388503	-3.2955210208892822	2.7509942054748535	-86.06997	96.60392
O104	-13.538214328309484	-1.4068799160364214	33.74314880371094	23.99109649658203	5.9295010910449335	4.400210651209518	-1.5712476968765259	2.383226156234741	-59.34966	-69.22053000000001
O106	-5.433756996347423	-12.056800943171682	-47.37788009643555	44.854164123535156	4.938276233640549	-4.591137899207964	-1.5524195432662964	-0.4753190577030182	-103.2475	-64.34222
O109	-2.343475431001175	-15.140474774443929	-71.6195068359375	39.29853820800781	3.992427411646381	-6.795682162787513	-1.8484880924224854	-0.9914889335632324	-89.95243	-12.75372
O111	-4.835357147087953	-18.633456756226956	-59.70504379272461	39.639366149902344	4.3734660852967355	-5.911414716014733	-1.7237690687179565	-0.7965020537376404	-107.0981	0.540824
O113	-3.2827801338448714	19.47625130199534	91.86157989501953	-68.34330749511719	-7.407391065138489	12.220619866982902	-3.429682731628418	3.832754373550415	106.2292	82.21965
O117	58.03744756275343	4.946082506422457	-126.08679962158203	100.60060119628906	0.47669062238943277	-15.782392898389801	-3.120164155960083	-1.497458815574646	151.4	129.1269
O125	-17.826884708951198	11.508182400868332	53.42133712768555	-36.1278076171875	0.5510960623974132	8.754530202678167	-2.2923848628997803	3.169114828109741	-13.20325	-83.48176
O127	-10.4042811765959	-4.239086345913939	-17.77444839477539	-17.637088775634766	-1.465918230164803	0.33394260869052733	-2.416426181793213	1.317459225654602	-34.41434	76.31851999999999
O128	-4.16567061073284	-11.181245665388387	-66.94234466552734	-4.297672748565674	1.0370101677833454	-5.735112196849281	-2.316303253173828	-0.017720434814691544	-70.15826	121.1031
O129	-9.016845453125454	-15.167393678952681	-44.24644470214844	30.7303466796875	3.5386812514043164	-4.197334447848244	-1.773435115814209	-0.31934693455696106	-52.84485	32.22368
O130	-11.779255098179576	-3.0467315354981155	-17.745058059692383	-28.92604637145996	-1.9078551309927878	1.0917331490048165	-2.8903579711914062	1.4022387266159058	40.234140000000004	63.11003
O131	36.101154306243636	-18.52367602073565	-113.56554412841797	78.96380615234375	2.1478253346626457	-13.564224923050578	-2.8514792919158936	-1.5565516948699951	186.1089	94.76866
O132	-7.1207879514431	18.81361103308421	92.20069885253906	-87.00878143310547	-7.928417977534144	10.24657429210206	-3.406651496887207	3.605337142944336	28.014840000000003	151.3116
O134	-11.405518195051183	-7.520024257624822	-12.940662384033203	1.9952987432479858	1.9452629727926445	0.10589777715054514	-1.5602272748947144	1.266519546508789	-67.07802	-112.8928
O135	-4.916057714085651	-2.5382614636045844	-37.73189926147461	-70.30186462402344	-7.016489718230663	-0.5944944347309651	-2.7283835411071777	1.1572039127349854	85.49178	133.589
O137	17.231888589508657	-16.482148762436093	-98.33052062988281	73.20988464355469	2.199797470171763	-11.777068046804215	-2.69327712059021	-1.2513943910598755	66.44381	100.9015
O141	-16.076046887582507	-1.3157970520097608	28.62156867980957	9.966389656066895	4.5276770455571995	4.751080487406766	-1.4205141067504883	2.2161858081817627	-21.16347	-166.9779
O145	-8.791556924139284	-12.832776211481447	-30.10700225830078	38.08428955078125	-0.30566857821023297	-4.057658142443047	-2.075791358947754	-0.35094979405403137	-97.47740999999999	78.41016
O147	-3.2905806481509585	-6.646241470192096	-30.349838256835938	-51.104881286621094	-4.818113651951438	0.05267726035660789	-3.2510430812835693	1.0434250831604004	40.09039	123.0801
O149	-4.871560354813617	-13.052598454731553	-46.57741928100586	-15.219436645507812	-2.883062185874691	-3.3711676213739055	-2.9585041999816895	0.4435155689716339	24.757820000000002	86.02802
O151	-14.275910141735146	-9.40826734307818	5.9732890129089355	17.876190185546875	4.346815764212986	1.679248067277969	-1.345194697380066	1.5876694917678833	-76.55266	-149.8598
O159	32.22079924840675	-7.08056324612543	-108.14505767822266	91.77584075927734	0.7000137720844498	-13.518594616885235	-2.9719722270965576	-1.2926130294799805	215.972	91.83873
O160	-0.38413185351873025	-12.66012735555621	-47.817325592041016	11.319551467895508	1.73491617229138	-3.5335184726166027	-1.8908597230911255	-0.03133535385131836	77.43903	52.08909
O162	-10.74229679355021	0.038022812515878725	-7.764455795288086	-80.89157104492188	-6.254628574528011	4.326413273790414	-3.295353651046753	1.7810099124908447	53.71005	30.408920000000002
O164	-11.16309353206971	0.26767259689278405	-16.523820877075195	-57.20103073120117	-5.324166506394111	1.6306232708941126	-3.3485398292541504	1.4672272205352783	13.451939999999999	118.1956
O165	5.014496155676179	-0.22578581158360517	-28.209360122680664	0.2718478739261627	0.8173713986502126	-0.9459545502699982	-1.7331359386444092	1.0265052318572998	52.229459999999996	-85.69181999999999
O171	12.822805877604186	-17.571453881316987	-88.07896423339844	50.604957580566406	4.483977541074773	-9.46357637470046	-1.9621919393539429	-1.3558754920959473	-73.09173	59.896330000000006
O427	-14.049568896905914	14.903856123166882	61.9561653137207	-14.885289192199707	3.1967897740469033	9.117445280314975	-2.0247602462768555	3.0510287284851074	11.54785	-190.3145
O430	-14.522318627097329	2.549386856879078	-1.5456668138504028	-36.77244567871094	-2.4039271614240594	2.913315768247207	-2.70387864112854	1.8030909299850464	-30.388240000000003	-11.376660000000001
O433	17.357604818747234	38.75143036204789	53.72585678100586	-99.93853759765625	-2.7565936139776164	12.779325578443439	-2.9345831871032715	3.6456542015075684	48.6337	-7.486877000000001
O434	-14.989719883428604	6.989094920042975	-3.733243703842163	-63.74542236328125	-5.128533945517775	3.1865504941775304	-3.0994927883148193	2.1116602420806885	2.160411	82.39546
O435	-2.4225230970736873	7.274806417509943	-33.05009078979492	-31.962255477905273	-0.3805405860950733	2.146818772864696	-3.0571537017822266	1.4561829566955566	76.96099	-54.190419999999996
O439	-12.385707088684365	19.035829496223077	72.75800323486328	-46.259971618652344	0.25894509292857726	11.342881781555615	-2.4776153564453125	3.360283851623535	18.76599	-40.57647
O440	-1.1797177847384532	-16.088082859617703	-86.2083511352539	32.215423583984375	2.944079370521533	-7.828862710366407	-1.8236849308013916	-0.9551509022712708	0.853758	-59.40791
O454	-11.251200581437692	11.451170845610717	58.24493408203125	13.776958465576172	5.958123754213121	7.478093931633634	-1.6313281059265137	2.5872974395751953	48.95814	-149.7306
